,datetime,order_type,close1_ema33,rsi14,sto533,pos_bb20,sd_pos,profit_in_points,target
256,2016.05.05 03:00:00,0,-0.000525189,47.6128,54.8507,-0.525211,-0.0915142,745,1
257,2016.05.06 13:30:00,1,0.000569627,58.7108,51.1628,3.43987,-0.328816,-67,0
258,2016.05.07 01:00:00,0,-0.000939913,42.1405,37.5215,-2.18538,-1.29584,21,1
259,2016.05.09 11:30:00,1,0.000387971,54.7038,69.0114,1.52063,-2.01417,-206,0
260,2016.05.09 15:30:00,0,-0.001564,41.0036,17.1254,-1.28554,-0.199824,-187,0
261,2016.05.09 21:30:00,1,0.00071379,53.9761,57.9661,0.887101,1.19697,-210,0
262,2016.05.10 00:30:00,0,-0.00126671,43.6156,24.375,-1.30934,-2.16041,-39,0
263,2016.05.10 14:00:00,1,0.000269144,53.8062,81.9967,1.38129,-0.443483,-117,0
264,2016.05.10 17:30:00,0,-0.00094038,42.6189,14.7351,-1.1601,1.34795,-64,0
265,2016.05.10 21:30:00,1,1.01E-05,50.4922,72.4832,0.1255,1.2568,-80,0
266,2016.05.11 00:30:00,0,-0.000798205,45.0253,15.2731,-0.833068,0.334245,-68,0
267,2016.05.11 08:30:00,1,0.000492584,54.7856,74.8649,1.43649,-2.8602,406,1
268,2016.05.12 11:00:00,0,0.0002283,50.4672,30.6306,-1.4206,-1.27849,-40,0
269,2016.05.12 11:30:02,1,0.000572517,55.3967,50.7177,0.741981,-1.22364,-30,0
270,2016.05.12 12:00:00,0,0.000284722,51.4767,41.8367,-0.767672,-1.14725,1045,1
271,2016.05.16 06:30:00,1,-0.00019941,51.5276,77.7523,1.9349,-2.0099,-157,0
272,2016.05.16 08:00:00,0,-0.00155473,41.4591,40.5088,-0.164443,-1.34269,-82,0
273,2016.05.16 09:30:01,1,-0.000614991,47.6561,47.8723,0.60054,-1.23021,-50,0
274,2016.05.16 10:00:00,0,-0.00103999,44.1709,46.37,-0.33018,-1.21543,-75,0
275,2016.05.16 14:00:00,1,-4.48E-05,51.8988,41.6393,0.947179,-0.971895,35,1
276,2016.05.17 01:30:05,0,-0.000451904,44.9275,5.6,-1.07087,-0.165326,-80,0
277,2016.05.17 10:00:00,1,0.000550649,57.2657,69.4969,2.74804,-2.65717,-75,0
278,2016.05.17 11:00:02,0,-0.000148352,48.4496,53.9726,-0.0350006,-1.89826,-110,0
